Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Параметры:,Период: 01.01.2024 - 30.06.2024,,,,,,,,,,,,
,,,,,,,,,,,,,
Отбор:,Количество визитов,,,,,,,,,,,,
,,,,,,,,,,,,,
Код клиента,Мобильный пункт профилактики - 1,Мобильный пункт профилактики - 2,Мобильный пункт профилактики - 3,Мобильный пункт профилактики - 4,Полевая работа МПП - 1,Полевая работа МПП - 2,Полевая работа МПП - 3,Полевая работа МПП - 4,Полевая работа СПП-1,Полевая работа СПП-2,Стационарный пункт профилактики - 1,Стационарный пункт профилактики - 2,Центр социального сопровождения
1аб09аб89,,,,,1,,,,,,,,
1Аб18Мо90,,,,,,,,,,,6,,
1АВ07ИВ79,,,,,,,,,,,,,
1ав16ан87,,,,,,,,,,2,,,
1аг20ян84,,,3,,,,2,,,,,,
1ад17шо97,,,,,,,,,1,,,,
1ад21ми74,,,,,,,,,1,,,,
1АД22АР72,,,,,,,,,,,,,
1ад22ег98,,,,,,,,,1,,,,
1ад25юр76,,,,,2,,,,,,,,
1ай02ви82,,,,,,,,,1,,,,
1АК02ОЛ78,,,1,,,,2,,,,,,
1ак08ол78,,,,,,,9,,,,,,
1ак09ки81,,,1,,,,2,,,,,,
1ак11иг05,,,,,,,,,,,,2,1
1ак16ди81,,,,,,,,,,1,,,
1ак16дм81,,,,,,,,,,2,,,
1ак18ге90,,,,,,,,,,,,2,
1ак22ди78,,,,,,,,,1,,,,
1ак29иг71,,,,,,,,,1,,,,
1ал01ал74,2,,,,,,,,,,,,
1ал01ан81,,,,,,,,,,,,,
1ал01ва75,,,2,,,,3,,,1,,,
1АЛ01ВА77,,,,,,,,,,,,,
1ал01ва88,,,,,,,4,,,,,,
1ал01ва89,,,,,,,2,,,,,,
1ал01ва91,,,,,,,1,,,,,,
1ал01ви88,,,,,,,,1,,,,,
1ал01дм74,,,,,,,6,,,,,,
1ал01дм81,,,2,,,,,,,,,,
1ал01дм90,,,,,,,2,,,,,,
1ал01ев81,,1,,,,,,,,,,,
